gene1,gene2,co-expression,BP,CC,MF,label,ppi
LAMTOR5,SLC22A11,0.3546923982853101,0.15833333333333333,0.2777777777777778,0.33535714285714285,0,O43504:Q9NSA0
DDX46,SF3B6,0.7842511484683025,0.7357142857142857,0.6099773242630384,0.7444444444444445,-1,Q7L014:Q9Y3B4
GPKOW,CRIPT,0.6806418770704585,0.20756302521008402,0.27666666666666667,0.7666666666666666,-1,Q92917:Q9P021
SEC22B,ZNF232,0.2990704953900369,0.125,0.4666666666666666,0.926797385620915,0,O75396:Q9UNY5
POLR2A,TAF5,0.8042291311288929,0.2662820151984238,0.6851063829787236,0.8125,0,P24928:Q15542
EIF3H,EIF3L,0.9324128324243585,0.7208333333333333,0.5833333333333333,0.8333333333333334,1,O15372:Q9Y262
EIF3G,EIF2S2,0.5863332737478747,0.425,0.7992063492063491,0.8447154471544716,-1,O75821:P20042
ASGR1,ADHFE1,0.22396838895241636,0.1111111111111111,0.2,0.3282828282828283,0,P07306:Q8IWW8
RNASE9,DNAJC14,0.4804219373672296,0.07692307692307693,0.375,0.27777777777777773,0,P60153:Q6Y2X3
PIANP,IL17C,0.023305237991568348,0.4259259259259259,0.5,0.3333333333333333,0,Q8IYJ0:Q9P0M4
GTPBP6,MRPL21,0.6897535057702914,0.0,0.2491258741258741,0.16666666666666666,-1,O43824:Q7Z2W9
SLC9A9,MED18,0.1587285622979967,0.08053221288515407,0.18027210884353742,0.9555555555555557,0,Q8IVB4:Q9BUE0
SLC30A2,MAB21L2,-0.06417452486009298,0.12142857142857143,0.625,1.0,0,Q9BRI3:Q9Y586
APPBP2,PBX4,0.21342484827262148,0.12367724867724868,0.45555555555555555,0.9800000000000001,0,Q92624:Q9BYU1
LMO2,TNFAIP8L3,0.18580283989534446,0.07057748538011696,0.5555555555555556,0.5071428571428571,0,P25791:Q5GJ75
MRPL3,WASH2P,0.15716864100973002,0.10722222222222222,0.18656462585034017,0.1488095238095238,0,P09001:Q6VEQ5
EEF2,ANKRD26P1,-0.0687070623747155,0.0,0.0,1.0,0,P13639:Q6NSI1
SUB1,IL16,0.3185747521433686,0.10963304372395279,0.3944444444444444,0.9838187702265372,0,P53999:Q14005
